date,open,high,low,close,volume,average,barCount
2025-08-26 09:30:00-04:00,226.86,227.0,225.97,226.26,532112.0,226.632,1527
2025-08-26 09:31:00-04:00,226.28,226.68,226.27,226.46,116560.0,226.467,747
2025-08-26 09:32:00-04:00,226.44,226.88,226.42,226.7,88283.0,226.715,567
2025-08-26 09:33:00-04:00,226.74,227.05,226.66,226.95,108517.0,226.936,676
2025-08-26 09:34:00-04:00,226.95,226.97,226.51,226.62,90278.0,226.75,472
2025-08-26 09:35:00-04:00,226.61,226.64,226.38,226.42,73038.0,226.514,467
2025-08-26 09:36:00-04:00,226.45,226.59,226.25,226.27,60110.0,226.413,401
2025-08-26 09:37:00-04:00,226.27,226.28,225.91,225.96,90404.0,226.049,457
2025-08-26 09:38:00-04:00,225.97,226.0,225.69,225.83,97393.0,225.819,540
2025-08-26 09:39:00-04:00,225.83,226.04,225.73,225.76,132927.0,225.893,663
2025-08-26 09:40:00-04:00,225.76,225.93,225.65,225.84,84416.0,225.786,542
2025-08-26 09:41:00-04:00,225.84,226.07,225.81,226.06,80417.0,225.912,492
2025-08-26 09:42:00-04:00,226.05,226.15,225.54,225.55,107744.0,225.823,632
2025-08-26 09:43:00-04:00,225.55,225.62,225.4,225.41,96990.0,225.527,478
2025-08-26 09:44:00-04:00,225.42,225.54,225.26,225.31,120576.0,225.398,589
2025-08-26 09:45:00-04:00,225.28,225.31,225.01,225.22,127433.0,225.154,623
2025-08-26 09:46:00-04:00,225.22,225.36,225.15,225.18,117589.0,225.27,594
2025-08-26 09:47:00-04:00,225.2,225.24,225.07,225.18,82214.0,225.144,490
2025-08-26 09:48:00-04:00,225.16,225.33,225.04,225.07,103913.0,225.237,592
2025-08-26 09:49:00-04:00,225.04,225.09,224.72,224.75,266865.0,224.906,1111
2025-08-26 09:50:00-04:00,224.73,225.23,224.69,225.08,153733.0,224.925,824
2025-08-26 09:51:00-04:00,225.08,225.33,225.07,225.22,71983.0,225.205,378
2025-08-26 09:52:00-04:00,225.23,225.32,225.13,225.19,60210.0,225.201,367
2025-08-26 09:53:00-04:00,225.22,225.32,225.04,225.23,129131.0,225.133,770
2025-08-26 09:54:00-04:00,225.25,225.35,225.17,225.22,97113.0,225.262,506
2025-08-26 09:55:00-04:00,225.2,225.21,225.03,225.08,90887.0,225.122,499
2025-08-26 09:56:00-04:00,225.1,225.3,224.96,225.16,70329.0,225.13,352
2025-08-26 09:57:00-04:00,225.16,225.48,225.15,225.43,84838.0,225.379,415
2025-08-26 09:58:00-04:00,225.43,225.48,225.26,225.28,64073.0,225.383,376
2025-08-26 09:59:00-04:00,225.28,225.4,225.2,225.26,61676.0,225.276,402
2025-08-26 10:00:00-04:00,225.27,225.43,225.25,225.28,100695.0,225.319,650
2025-08-26 10:01:00-04:00,225.3,225.82,225.13,225.15,228178.0,225.443,1497
2025-08-26 10:02:00-04:00,225.17,225.27,224.88,225.08,117147.0,225.067,655
